title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format
"Him (Him, #1)",SARINA BOWEN,https://www.goodreads.com/book/show/25686927-him,4.3,"                43,866",2015,970,360,Romance,HIM,"Him, #1"
Ghosts (Hardcover),DOLLY ALDERTON,https://www.goodreads.com/book/show/50042494-ghosts,3.93,"                56,312",2020,971,338,Fiction,GHOSTS,Hardcover
"The Witch King (The Witch King, #1)",HE EDGMON,https://www.goodreads.com/book/show/54823479-the-witch-king,3.98,"                2,843",2021,972,432,Fantasy,THE WITCH KING,"The Witch King, #1"
"The Winter King (Weathermages of Mystral, #1)",CL WILSON,https://www.goodreads.com/book/show/10485751-the-winter-king,4.07,"                17,123",2014,973,594,Fantasy,THE WINTER KING,"Weathermages of Mystral, #1"
Yolk,MARY HK CHOI,https://www.goodreads.com/book/show/43562313-yolk,4.05,"                15,781",2021,974,400,Contemporary,YOLK,
"Curse of the Night Witch (Emblem Island, #1)",ALEX ASTER,https://www.goodreads.com/book/show/42856678-curse-of-the-night-witch,3.92,"                1,100",2020,975,352,Fantasy,CURSE OF THE NIGHT WITCH,"Emblem Island, #1"
Misconduct (Paperback),PENELOPE DOUGLAS,https://www.goodreads.com/book/show/23605463-misconduct,3.99,"                21,938",2015,976,368,Romance,MISCONDUCT,Paperback
The Chosen and the Beautiful (Hardcover),NGHI VO,https://www.goodreads.com/book/show/55169019-the-chosen-and-the-beautiful,3.59,"                10,399",2021,977,260,Fantasy,THE CHOSEN AND THE BEAUTIFUL,Hardcover
"Hunting Prince Dracula (Stalking Jack the Ripper, #2)",KERRI MANISCALCO,https://www.goodreads.com/book/show/33784373-hunting-prince-dracula,4.24,"                50,023",2017,978,448,Historical,HUNTING PRINCE DRACULA,"Stalking Jack the Ripper, #2"
Hush Hush (Kindle Edition),LUCIA FRANCO,https://www.goodreads.com/book/show/44166765-hush-hush,4.03,"                5,826",2019,979,469,Romance,HUSH HUSH,Kindle Edition
"Namesake (Fable, #2)",ADRIENNE YOUNG,https://www.goodreads.com/book/show/53138025-namesake,4.09,"                30,244",2021,980,360,Fantasy,NAMESAKE,"Fable, #2"
"Wake, Siren: Ovid Resung (Paperback)",NINA MACLAUGHLIN,https://www.goodreads.com/book/show/43684703-wake-siren,3.77,"                1,271",2019,981,352,Fantasy,"WAKE, SIREN: OVID RESUNG",Paperback
"Havoc at Prescott High (The Havoc Boys, #1)",CM STUNICH,https://www.goodreads.com/book/show/48559429-havoc-at-prescott-high,4.19,"                18,990",2019,982,412,Polyamorous,HAVOC AT PRESCOTT HIGH,"The Havoc Boys, #1"
On the Edge (Paperback),JOANNA MAZURKIEWICZ,https://www.goodreads.com/book/show/56466205-on-the-edge,3.57,                550,2019,983,342,Romance,ON THE EDGE,Paperback
Love at First Fight (Kindle Edition),CARRIE AARONS,https://www.goodreads.com/book/show/55369927-love-at-first-fight,3.69,"                6,568",2020,984,231,Romance,LOVE AT FIRST FIGHT,Kindle Edition
Cast in Firelight (Hardcover),DANA SWIFT,https://www.goodreads.com/book/show/51630215-cast-in-firelight,3.95,"                3,381",2021,985,433,Fantasy,CAST IN FIRELIGHT,Hardcover
"When Wishes Bleed (When Wishes Bleed, #1)",CASEY L BOND,https://www.goodreads.com/book/show/53072666-when-wishes-bleed,3.98,"                5,693",2019,986,462,Fantasy,WHEN WISHES BLEED,"When Wishes Bleed, #1"
"The Never Tilting World (The Never Tilting World, #1)",RIN CHUPECO,https://www.goodreads.com/book/show/36321739-the-never-tilting-world,3.82,"                3,472",2019,987,512,Fantasy,THE NEVER TILTING WORLD,"The Never Tilting World, #1"
Sometimes I Lie (Paperback),ALICE FEENEY,https://www.goodreads.com/book/show/32326398-sometimes-i-lie,3.81,"                130,573",2017,988,387,Thriller,SOMETIMES I LIE,Paperback
"A Heart of Blood and Ashes (A Gathering of Dragons, #1)",MILLA VANE,https://www.goodreads.com/book/show/46021762-a-heart-of-blood-and-ashes,3.91,"                6,307",2020,989,555,Fantasy,A HEART OF BLOOD AND ASHES,"A Gathering of Dragons, #1"
"Playing with Monsters (Playing with Monsters, #1)",AMELIA HUTCHINS,https://www.goodreads.com/book/show/35919372-playing-with-monsters,4.24,"                10,217",2016,990,516,Fantasy,PLAYING WITH MONSTERS,"Playing with Monsters, #1"
"Wicked Fox (Gumiho, #1)",KAT CHO,https://www.goodreads.com/book/show/42133479-wicked-fox,3.75,"                13,785",2019,991,429,Fantasy,WICKED FOX,"Gumiho, #1"
"Devious Lies (Cruel Crown, #1)",PARKER S HUNTINGTON,https://www.goodreads.com/book/show/49240812-devious-lies,4.09,"                19,713",2019,992,702,Romance,DEVIOUS LIES,"Cruel Crown, #1"
Station Eleven (Hardcover),EMILY ST JOHN MANDEL,https://www.goodreads.com/book/show/20170404-station-eleven,4.06,"                408,457",2014,993,333,Fiction,STATION ELEVEN,Hardcover
Sharp Objects (Paperback),GILLIAN FLYNN,https://www.goodreads.com/book/show/18045891-sharp-objects,4.0,"                838,424",2006,994,254,Mystery,SHARP OBJECTS,Paperback
82년생 김지영 (Hardcover),CHO NAM-JOO,https://www.goodreads.com/book/show/35297901-82,4.18,"                76,856",2016,995,192,Fiction,82년생 김지영,Hardcover
Severance (Hardcover),LING MA,https://www.goodreads.com/book/show/36348525-severance,3.91,"                61,027",2018,996,291,Fiction,SEVERANCE,Hardcover
"The Empire of Gold (The Daevabad Trilogy, #3)",SA CHAKRABORTY,https://www.goodreads.com/book/show/52166786-the-empire-of-gold,4.51,"                30,872",2020,997,766,Fantasy,THE EMPIRE OF GOLD,"The Daevabad Trilogy, #3"
Sing Me Forgotten (Hardcover),JESSICA S OLSON,https://www.goodreads.com/book/show/53176389-sing-me-forgotten,3.82,"                2,415",2021,998,336,Fantasy,SING ME FORGOTTEN,Hardcover
"Dark Shores (Dark Shores, #1)",DANIELLE L JENSEN,https://www.goodreads.com/book/show/41555964-dark-shores,3.96,"                6,054",2019,999,368,Fantasy,DARK SHORES,"Dark Shores, #1"
The Sword of Kaigen (Kindle Edition),ML WANG,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen,4.45,"                9,394",2019,1000,559,Fantasy,THE SWORD OF KAIGEN,Kindle Edition
"Twisted Loyalties (The Camorra Chronicles, #1)",CORA REILLY,https://www.goodreads.com/book/show/41460246-twisted-loyalties,3.97,"                18,881",2018,1001,329,Romance,TWISTED LOYALTIES,"The Camorra Chronicles, #1"
"Mr. Masters (Mr. Series, #1)",TL SWAN,https://www.goodreads.com/book/show/40222694-mr-masters,4.27,"                32,812",2018,1002,445,Romance,MR. MASTERS,"Mr. Series, #1"
This Time Next Year (Kindle Edition),SOPHIE COUSENS,https://www.goodreads.com/book/show/48656130-this-time-next-year,3.85,"                67,125",2020,1003,352,Romance,THIS TIME NEXT YEAR,Kindle Edition
Chosen Ones (The Chosen Ones #1),VERONICA ROTH,https://www.goodreads.com/book/show/52486678-chosen-ones,3.62,"                20,715",2020,1004,432,Fantasy,CHOSEN ONES,The Chosen Ones #1
The Wife Upstairs (Hardcover),RACHEL HAWKINS,https://www.goodreads.com/book/show/53137893-the-wife-upstairs,3.76,"                139,772",2021,1005,290,Thriller,THE WIFE UPSTAIRS,Hardcover
The Hunting Party (Paperback),LUCY FOLEY,https://www.goodreads.com/book/show/37642030-the-hunting-party,3.65,"                170,742",2018,1006,406,Mystery,THE HUNTING PARTY,Paperback
The Gravity of Us (Hardcover),PHIL STAMPER,https://www.goodreads.com/book/show/44281034-the-gravity-of-us,3.64,"                18,029",2020,1007,314,LGBT,THE GRAVITY OF US,Hardcover
"Sea Witch (Sea Witch, #1)",SARAH HENNING,https://www.goodreads.com/book/show/36502054-sea-witch,3.64,"                14,974",2018,1008,368,Fantasy,SEA WITCH,"Sea Witch, #1"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),JAMES CLEAR,https://www.goodreads.com/book/show/40121378-atomic-habits,4.38,"                394,169",2018,1009,319,Nonfiction,ATOMIC HABITS: AN EASY & PROVEN WAY TO BUILD GOOD HABITS & BREAK BAD ONES,Kindle Edition
Midnight Sun (Hardcover),STEPHENIE MEYER,https://www.goodreads.com/book/show/53287484-midnight-sun,3.72,"                182,353",2020,1010,658,Fantasy,MIDNIGHT SUN,Hardcover
"Scarlet (The Lunar Chronicles, #2)",MARISSA MEYER,https://www.goodreads.com/book/show/13206760-scarlet,4.26,"                369,419",2013,1011,454,Young Adult,SCARLET,"The Lunar Chronicles, #2"
"Broken Knight (All Saints High, #2)",LJ SHEN,https://www.goodreads.com/book/show/52274111-broken-knight,4.23,"                43,999",2019,1012,378,Romance,BROKEN KNIGHT,"All Saints High, #2"
"The Hunter (Boston Belles, #1)",LJ SHEN,https://www.goodreads.com/book/show/46038707-the-hunter,4.05,"                37,469",2020,1013,394,Romance,THE HUNTER,"Boston Belles, #1"
"The Beauty of Darkness (The Remnant Chronicles, #3)",MARY E PEARSON,https://www.goodreads.com/book/show/25944798-the-beauty-of-darkness,4.21,"                43,105",2016,1014,684,Fantasy,THE BEAUTY OF DARKNESS,"The Remnant Chronicles, #3"
Ruinsong (Hardcover),JULIA EMBER,https://www.goodreads.com/book/show/52751122-ruinsong,3.53,"                2,176",2020,1015,368,Fantasy,RUINSONG,Hardcover
"Beyond the Ruby Veil (Beyond the Ruby Veil, #1)",MARA FITZGERALD,https://www.goodreads.com/book/show/42248889-beyond-the-ruby-veil,3.52,"                1,492",2020,1016,288,Fantasy,BEYOND THE RUBY VEIL,"Beyond the Ruby Veil, #1"
"Outlander (Outlander, #1)",DIANA GABALDON,https://www.goodreads.com/book/show/10964.Outlander,4.24,"                940,391",1991,1017,850,Historical,OUTLANDER,"Outlander, #1"
With the Fire on High (ebook),ELIZABETH ACEVEDO,https://www.goodreads.com/book/show/38739562-with-the-fire-on-high,4.21,"                70,872",2019,1018,400,Young Adult,WITH THE FIRE ON HIGH,ebook
"The Year of the Witching (Bethel, #1)",ALEXIS HENDERSON,https://www.goodreads.com/book/show/49789629-the-year-of-the-witching,3.81,"                23,897",2020,1019,368,Fantasy,THE YEAR OF THE WITCHING,"Bethel, #1"
"Falling Kingdoms (Falling Kingdoms, #1)",MORGAN RHODES,https://www.goodreads.com/book/show/12954620-falling-kingdoms,3.78,"                58,621",2012,1020,412,Fantasy,FALLING KINGDOMS,"Falling Kingdoms, #1"
"Snow Like Ashes (Snow Like Ashes, #1)",SARA RAASCH,https://www.goodreads.com/book/show/17399160-snow-like-ashes,3.88,"                66,830",2014,1021,422,Fantasy,SNOW LIKE ASHES,"Snow Like Ashes, #1"
"Ruin (Dark Island Scots, #1)",JOLIE VINES,https://www.goodreads.com/book/show/59590133-ruin,3.79,                912,hed ,1022,369,Romance,RUIN,"Dark Island Scots, #1"
"Hot Vampire Next Door: Season One (Midnight Harbor, #1)",NIKKI ST CROWE,https://www.goodreads.com/book/show/59760377-hot-vampire-next-door,3.96,"                3,837",2021,1023,140,Fantasy,HOT VAMPIRE NEXT DOOR: SEASON ONE,"Midnight Harbor, #1"
"Melt for Us (Holiday Masked Men, #2)",MOLLY DOYLE,https://www.goodreads.com/book/show/59720062-melt-for-us,3.6,"                6,925",2021,1024,95,Polyamorous,MELT FOR US,"Holiday Masked Men, #2"
"Vipers and Virtuosos (Monsters & Muses, #2)",SAV R MILLER,https://www.goodreads.com/book/show/58722688-vipers-and-virtuosos,3.97,"                6,066",2021,1025,392,Romance,VIPERS AND VIRTUOSOS,"Monsters & Muses, #2"
The School for Good Mothers (Hardcover),JESSAMINE CHAN,https://www.goodreads.com/book/show/57846320-the-school-for-good-mothers,3.57,"                26,588",2022,1026,336,Fiction,THE SCHOOL FOR GOOD MOTHERS,Hardcover
River Wild (ebook),SAMANTHA TOWLE,https://www.goodreads.com/book/show/42832396-river-wild,4.12,"                11,527",2019,1027,301,Romance,RIVER WILD,ebook
"There Is No Devil (Sinners Duet, #2)",SOPHIE LARK,https://www.goodreads.com/book/show/59009957-there-is-no-devil,4.0,"                13,492",2021,1028,332,Romance,THERE IS NO DEVIL,"Sinners Duet, #2"
"Empire of Desire (Empire, #1)",RINA KENT,https://www.goodreads.com/book/show/59247763-empire-of-desire,3.97,"                8,331",2021,1029,405,Romance,EMPIRE OF DESIRE,"Empire, #1"
"King of Corium (Corium University Trilogy, #1)",C HALLMAN,https://www.goodreads.com/book/show/58636533-king-of-corium,3.79,"                5,041",2021,1030,290,Romance,KING OF CORIUM,"Corium University Trilogy, #1"
"Bloody Heart (Brutal Birthright, #4)",SOPHIE LARK,https://www.goodreads.com/book/show/54612984-bloody-heart,4.1,"                13,415",2020,1031,464,Romance,BLOODY HEART,"Brutal Birthright, #4"
"This Is Crazy (This is, #1)",NATASHA MADISON,https://www.goodreads.com/book/show/46137675-this-is-crazy,4.05,"                6,253",2019,1032,265,Sports,THIS IS CRAZY,"This is, #1"
"Lady of Darkness (Lady of Darkness, #1)",MELISSA K ROEHRICH,https://www.goodreads.com/book/show/59014569-lady-of-darkness,4.29,"                1,341",2021,1033,458,Fantasy,LADY OF DARKNESS,"Lady of Darkness, #1"
"Change on the Fly (Totally Pucked, #1)",MAREN MOORE,https://www.goodreads.com/book/show/58959699-change-on-the-fly,3.77,"                4,218",hed ,1034,Non,Contemporary Romance,CHANGE ON THE FLY,"Totally Pucked, #1"
The Psycho (The Soldiers of Anarchy #1),NIKKI J SUMMERS,https://www.goodreads.com/book/show/58800831-the-psycho,3.9,"                3,249",2021,1035,384,Romance,THE PSYCHO,The Soldiers of Anarchy #1
Inevitable (Stonewood Brothers #1),SHAIN ROSE,https://www.goodreads.com/book/show/50727825-inevitable,3.65,"                2,360",hed ,1036,Non,Romance,INEVITABLE,Stonewood Brothers #1
First Semester (Campus Tales #1),QB TYLER,https://www.goodreads.com/book/show/41579546-first-semester,3.65,"                5,478",2018,1037,157,Romance,FIRST SEMESTER,Campus Tales #1
Choosing Theo (Clecanian #1),VICTORIA AVELINE,https://www.goodreads.com/book/show/51479476-choosing-theo,4.19,"                11,883",2020,1038,383,Romance,CHOOSING THEO,Clecanian #1
Lilah (ebook),ASHLYN MONTGOMERY,https://www.goodreads.com/book/show/56516194-lilah,4.31,"                10,558",hed ,1039,Non,Romance,LILAH,ebook
"Riggs (The Kings of Retribution, Louisiana Chapter, #1)",SANDY ALVAREZ,https://www.goodreads.com/book/show/50138807-riggs,4.15,"                4,912",2019,1040,226,Romance,RIGGS,"The Kings of Retribution, Louisiana Chapter, #1"
"Carnal Urges (Queens & Monsters, #2)",JT GEISSINGER,https://www.goodreads.com/book/show/57101782-carnal-urges,4.33,"                13,422",2021,1041,358,Romance,CARNAL URGES,"Queens & Monsters, #2"
"Filthy Rich (The Five Points' Mob Collection, #2)",SERENA AKEROYD,https://www.goodreads.com/book/show/58693619-filthy-rich,4.08,"                6,460",2020,1042,348,Romance,FILTHY RICH,"The Five Points' Mob Collection, #2"
"Reign of a King (Kingdom Duet, #1)",RINA KENT,https://www.goodreads.com/book/show/53401044-reign-of-a-king,4.2,"                10,072",2020,1043,352,Romance,REIGN OF A KING,"Kingdom Duet, #1"
Unlawful Temptations (Star-Crossed Book One),ALEXANDRIA LEE,https://www.goodreads.com/book/show/57992291-unlawful-temptations,3.9,"                1,242",hed ,1044,Non,Romance,UNLAWFUL TEMPTATIONS,Star-Crossed Book One
"The Rebel (Kingmakers, #2)",SOPHIE LARK,https://www.goodreads.com/book/show/57677901-the-rebel,4.32,"                9,136",2021,1045,528,Romance,THE REBEL,"Kingmakers, #2"
The Masks We Wear (Kindle Edition),LEE JACQUOT,https://www.goodreads.com/book/show/57064610-the-masks-we-wear,3.49,                909,2021,1046,243,Romance,THE MASKS WE WEAR,Kindle Edition
"If the Shoe Fits (Meant to Be, #1)",JULIE MURPHY,https://www.goodreads.com/book/show/55660420-if-the-shoe-fits,4.03,"                19,205",2021,1047,304,Romance,IF THE SHOE FITS,"Meant to Be, #1"
Paradise (The Paradise Club #1),JA LOW,https://www.goodreads.com/book/show/53042977-paradise,4.22,"                2,800",hed ,1048,316,Romance,PARADISE,The Paradise Club #1
Hating the Boss (paperback),KRISTEN GRANATA,https://www.goodreads.com/book/show/57626797-hating-the-boss,3.77,"                1,792",hed ,1049,Non,Romance,HATING THE BOSS,paperback
"When Heroes Fall (Anti-Heroes in Love, #1)",GIANA DARLING,https://www.goodreads.com/book/show/48714414-when-heroes-fall,4.14,"                8,544",2021,1050,Non,Romance,WHEN HEROES FALL,"Anti-Heroes in Love, #1"
"Gods & Monsters (Gods & Monsters, #1)",JANIE MARIE,https://www.goodreads.com/book/show/50761366-gods-monsters,3.48,"                1,749",2012,1051,378,Fantasy,GODS & MONSTERS,"Gods & Monsters, #1"
"Wolf (The Brotherhood, #1)",PENELOPE BLACK,https://www.goodreads.com/book/show/55712371-wolf,4.09,"                4,115",2020,1052,259,Polyamorous,WOLF,"The Brotherhood, #1"
Fangirl (Kindle Edition),RAINBOW ROWELL,https://www.goodreads.com/book/show/16068905-fangirl,3.99,"                683,121",2013,1053,483,Young Adult,FANGIRL,Kindle Edition
"Fighting Conviction (Conviction, #2)",GREER RIVERS,https://www.goodreads.com/book/show/56780278-fighting-conviction,3.79,"                1,726",2021,1054,390,Romance,FIGHTING CONVICTION,"Conviction, #2"
"Bitter Heat (Singed, #1)",MIA KNIGHT,https://www.goodreads.com/book/show/44160830-bitter-heat,4.07,"                4,531",2019,1055,298,Romance,BITTER HEAT,"Singed, #1"
"Twisted Pride (The Camorra Chronicles, #3)",CORA REILLY,https://www.goodreads.com/book/show/43721791-twisted-pride,4.23,"                22,866",2019,1056,419,Romance,TWISTED PRIDE,"The Camorra Chronicles, #3"
"Idol (VIP, #1)",KRISTEN CALLIHAN,https://www.goodreads.com/book/show/29541818-idol,4.02,"                31,920",2016,1057,339,Romance,IDOL,"VIP, #1"
"Puck Me Secretly (Vancouver Wolves Hockey, #1)",ODETTE STONE,https://www.goodreads.com/book/show/45170538-puck-me-secretly,4.17,"                18,152",2018,1058,409,Romance,PUCK ME SECRETLY,"Vancouver Wolves Hockey, #1"
"Monster in His Eyes (Monster in His Eyes, #1)",JM DARHOWER,https://www.goodreads.com/book/show/21956060-monster-in-his-eyes,4.1,"                33,009",2014,1059,351,Romance,MONSTER IN HIS EYES,"Monster in His Eyes, #1"
"Rival (Fall Away, #2)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/18129852-rival,4.08,"                42,113",2014,1060,366,Romance,RIVAL,"Fall Away, #2"
In the Ravenous Dark (Hardcover),AM STRICKLAND,https://www.goodreads.com/book/show/54017941-in-the-ravenous-dark,3.84,"                3,205",2021,1061,400,Fantasy,IN THE RAVENOUS DARK,Hardcover
"Addicted After All (Addicted, #5)",KRISTA RITCHIE,https://www.goodreads.com/book/show/55475504-addicted-after-all,4.51,"                21,217",2014,1062,534,Romance,ADDICTED AFTER ALL,"Addicted, #5"
Captivated (Kindle Edition),TESSA BAILEY,https://www.goodreads.com/book/show/40167229-captivated,3.93,"                3,780",2018,1063,350,Romance,CAPTIVATED,Kindle Edition
"Last (Copperslane, #1)",GARNET CHRISTIE,https://www.goodreads.com/book/show/57370774-last,3.31,"                1,207",hed ,1064,299,Romance,LAST,"Copperslane, #1"
Built to Fall (Kindle Edition),JULIA WOLF,https://www.goodreads.com/book/show/60727479-built-to-fall,4.26,"                3,311",2021,1065,Non,Romance,BUILT TO FALL,Kindle Edition
"The Sea Witch (Wicked Villains, #5)",KATEE ROBERT,https://www.goodreads.com/book/show/52719723-the-sea-witch,3.51,"                4,224",2020,1066,275,Romance,THE SEA WITCH,"Wicked Villains, #5"
The Princess Trap (Paperback),TALIA HIBBERT,https://www.goodreads.com/book/show/56590794-the-princess-trap,3.78,"                8,044",2018,1067,350,Romance,THE PRINCESS TRAP,Paperback
The Push (Hardcover),ASHLEY AUDRAIN,https://www.goodreads.com/book/show/52476830-the-push,4.1,"                188,579",2021,1068,307,Fiction,THE PUSH,Hardcover
Some Kind of Perfect (Calloway Sisters #5),KRISTA RITCHIE,https://www.goodreads.com/book/show/26148181-some-kind-of-perfect,4.7,"                12,471",2016,1069,664,Romance,SOME KIND OF PERFECT,Calloway Sisters #5
Signs of Cupidity (Heart Hassle #1),RAVEN KENNEDY,https://www.goodreads.com/book/show/41451010-signs-of-cupidity,4.18,"                13,798",2018,1070,290,Polyamorous,SIGNS OF CUPIDITY,Heart Hassle #1
Binding 13 (Boys of Tommen #1),CHLOE WALSH,https://www.goodreads.com/book/show/40944965-binding-13,4.47,"                7,292",2018,1071,887,Romance,BINDING 13,Boys of Tommen #1
"Phoenix Unbound (Fallen Empire, #1)",GRACE DRAVEN,https://www.goodreads.com/book/show/34817019-phoenix-unbound,4.01,"                11,849",2018,1072,431,Fantasy,PHOENIX UNBOUND,"Fallen Empire, #1"
"City in Embers (Collector, #1)",STACEY MARIE BROWN,https://www.goodreads.com/book/show/23531413-city-in-embers,4.12,"                6,984",2015,1073,458,Fantasy,CITY IN EMBERS,"Collector, #1"
"The Kingdom of Copper (The Daevabad Trilogy, #2)",SA CHAKRABORTY,https://www.goodreads.com/book/show/39988431-the-kingdom-of-copper,4.4,"                42,067",2019,1074,625,Fantasy,THE KINGDOM OF COPPER,"The Daevabad Trilogy, #2"
"La Mémoire de Babel (La Passe-Miroir, #3)",CHRISTELLE DABOS,https://www.goodreads.com/book/show/32903079-la-m-moire-de-babel,4.27,"                33,421",2017,1075,496,Fantasy,LA MÉMOIRE DE BABEL,"La Passe-Miroir, #3"
"The Heart of Betrayal (The Remnant Chronicles, #2)",MARY E PEARSON,https://www.goodreads.com/book/show/21569527-the-heart-of-betrayal,4.23,"                61,258",2015,1076,473,Fantasy,THE HEART OF BETRAYAL,"The Remnant Chronicles, #2"
My Best Friend's Exorcism (Kindle Edition),GRADY HENDRIX,https://www.goodreads.com/book/show/41015038-my-best-friend-s-exorcism,3.98,"                54,319",2016,1077,337,Horror,MY BEST FRIEND'S EXORCISM,Kindle Edition
"A Gathering of Shadows (Shades of Magic, #2)",VE SCHWAB,https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows,4.24,"                149,141",2016,1078,512,Fantasy,A GATHERING OF SHADOWS,"Shades of Magic, #2"
"The Golem and the Jinni (The Golem and the Jinni, #1)",HELENE WECKER,https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni,4.11,"                114,883",2013,1079,486,Fantasy,THE GOLEM AND THE JINNI,"The Golem and the Jinni, #1"
Baby Teeth (Hardcover),ZOJE STAGE,https://www.goodreads.com/book/show/35410511-baby-teeth,3.63,"                50,393",2018,1080,304,Horror,BABY TEETH,Hardcover
The Last True Poets of the Sea (Hardcover),JULIA DRAKE,https://www.goodreads.com/book/show/41783734-the-last-true-poets-of-the-sea,3.95,"                6,896",2019,1081,400,Young Adult,THE LAST TRUE POETS OF THE SEA,Hardcover
The Places I've Cried in Public (Kindle Edition),HOLLY BOURNE,https://www.goodreads.com/book/show/44004352-the-places-i-ve-cried-in-public,4.06,"                10,487",2019,1082,368,Contemporary,THE PLACES I'VE CRIED IN PUBLIC,Kindle Edition
The Only Good Indians (Hardcover),STEPHEN GRAHAM JONES,https://www.goodreads.com/book/show/52180399-the-only-good-indians,3.73,"                47,528",2020,1083,336,Horror,THE ONLY GOOD INDIANS,Hardcover
"The Program (The Program, #1)",SUZANNE YOUNG,https://www.goodreads.com/book/show/11366397-the-program,4.05,"                50,634",2013,1084,405,Young Adult,THE PROGRAM,"The Program, #1"
Jane Eyre (Paperback),CHARLOTTE BRONTË,https://www.goodreads.com/book/show/10210.Jane_Eyre,4.14,"                1,856,818",1847,1085,532,Classics,JANE EYRE,Paperback
Lock Every Door (ebook),RILEY SAGER,https://www.goodreads.com/book/show/41837243-lock-every-door,3.91,"                127,677",2019,1086,381,Thriller,LOCK EVERY DOOR,ebook
The Great Alone (Kindle Edition),KRISTIN HANNAH,https://www.goodreads.com/book/show/34912895-the-great-alone,4.37,"                541,349",2018,1087,435,Fiction,THE GREAT ALONE,Kindle Edition
"The Hundred Thousand Kingdoms (Inheritance, #1)",NK JEMISIN,https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms,3.88,"                66,047",2010,1088,427,Fantasy,THE HUNDRED THOUSAND KINGDOMS,"Inheritance, #1"
"Neverwhere (London Below, #1)",NEIL GAIMAN,https://www.goodreads.com/book/show/14497.Neverwhere,4.17,"                477,688",1996,1089,370,Fantasy,NEVERWHERE,"London Below, #1"
Death in Her Hands (Hardcover),OTTESSA MOSHFEGH,https://www.goodreads.com/book/show/52878453-death-in-her-hands,3.26,"                20,918",2020,1090,259,Fiction,DEATH IN HER HANDS,Hardcover
My Favorite Half-Night Stand (Paperback),CHRISTINA LAUREN,https://www.goodreads.com/book/show/38357345-my-favorite-half-night-stand,3.78,"                55,106",2018,1091,384,Romance,MY FAVORITE HALF-NIGHT STAND,Paperback
Romanov (Hardcover),NADINE BRANDES,https://www.goodreads.com/book/show/40590407-romanov,3.77,"                11,262",2019,1092,337,Fantasy,ROMANOV,Hardcover
"The Language of Thorns: Midnight Tales and Dangerous Magic (Grishaverse, #0.5, 2.5, 2.6)",LEIGH BARDUGO,https://www.goodreads.com/book/show/34076952-the-language-of-thorns,4.34,"                47,197",2017,1093,281,Fantasy,THE LANGUAGE OF THORNS: MIDNIGHT TALES AND DANGEROUS MAGIC,"Grishaverse, #0.5, 2.5, 2.6"
Switched (Trylle #1),AMANDA HOCKING,https://www.goodreads.com/book/show/12180581-switched,3.87,"                97,709",2010,1094,216,Fantasy,SWITCHED,Trylle #1
Sawkill Girls (Hardcover),CLAIRE LEGRAND,https://www.goodreads.com/book/show/38139409-sawkill-girls,3.68,"                14,962",2018,1095,447,Horror,SAWKILL GIRLS,Hardcover
The City We Became (Hardcover),NK JEMISIN,https://www.goodreads.com/book/show/42074525-the-city-we-became,3.92,"                49,315",2020,1096,437,Fantasy,THE CITY WE BECAME,Hardcover
"Good Gone Bad (The Fallen Men, #3)",GIANA DARLING,https://www.goodreads.com/book/show/51480791-good-gone-bad,4.12,"                10,008",2018,1097,392,Romance,GOOD GONE BAD,"The Fallen Men, #3"
"Until Friday Night (The Field Party, #1)",ABBI GLINES,https://www.goodreads.com/book/show/22522202-until-friday-night,3.93,"                52,792",2015,1098,336,Romance,UNTIL FRIDAY NIGHT,"The Field Party, #1"
The Whisper Man (Hardcover),ALEX NORTH,https://www.goodreads.com/book/show/41940236-the-whisper-man,4.04,"                118,248",2019,1099,355,Thriller,THE WHISPER MAN,Hardcover
The Turn of the Key (Hardcover),RUTH WARE,https://www.goodreads.com/book/show/42080142-the-turn-of-the-key,3.94,"                200,879",2019,1100,337,Mystery,THE TURN OF THE KEY,Hardcover
Stolen Songbird (The Malediction Trilogy #1),DANIELLE L JENSEN,https://www.goodreads.com/book/show/55787191-stolen-songbird,3.91,"                26,408",2014,1101,358,Fantasy,STOLEN SONGBIRD,The Malediction Trilogy #1
The Unrequited (Paperback),SAFFRON A KENT,https://www.goodreads.com/book/show/34839067-the-unrequited,4.0,"                11,640",2017,1102,340,Romance,THE UNREQUITED,Paperback
My Heart and Other Black Holes (Kindle Edition),JASMINE WARGA,https://www.goodreads.com/book/show/18336965-my-heart-and-other-black-holes,3.98,"                51,813",2015,1103,302,Young Adult,MY HEART AND OTHER BLACK HOLES,Kindle Edition
Rebecca (ebook),DAPHNE DU MAURIER,https://www.goodreads.com/book/show/17899948-rebecca,4.24,"                543,446",1938,1104,449,Classics,REBECCA,ebook
When We Collided (Hardcover),EMERY LORD,https://www.goodreads.com/book/show/25663637-when-we-collided,3.84,"                23,683",2016,1105,352,Young Adult,WHEN WE COLLIDED,Hardcover
